Giardino Giuseppe Damascelli,[['footway', -1]]
Piazza Fabrizio De Andrè,[['footway', -1], ['footway', -1]]
Via Luigi Ricchioni,[['residential', -1]]
Ponte 20 Settembre,[['secondary', '50'], ['secondary', -1], ['secondary', '30']]
Parcheggio bici e moto,[['service', '5']]
Via Domenico Turitto,[['residential', -1]]
Via Ravenna,[['residential', '50']]
Via Santo Mariano,[['residential', -1]]
Lungomare Giambattista e Pietro Starita,[['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1]]
Corso Cavour,[['tertiary', -1], ['secondary', -1], ['pedestrian', -1], ['residential', -1], ['secondary', -1], ['residential', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Largo Maria Montessori,[['residential', '50']]
Via Giustino Fortunato,[['residential', -1], ['residential', -1]]
Via Nicola Cadudi,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Francesco Curzio,[['residential', -1], ['residential', -1]]
Strada de Gironda,[['pedestrian', -1]]
Strada Incuria,[['pedestrian', -1], ['pedestrian', -1]]
Via Niccolò Pisani,[['residential', -1]]
Via Addis Abeba,[['residential', -1]]
Via Giuseppe Palmieri,[['residential', -1]]
Via Giuseppe Forges Davanzati,[['residential', -1]]
Lungomare 9 Maggio,[['tertiary', -1], ['tertiary', -1], ['residential', -1], ['tertiary', -1]]
Via Gioacchino Toma,[['residential', -1], ['residential', -1]]
Via Picone,[['unclassified', -1]]
Via Martiri di Marzabotto,[['unclassified', -1]]
Via Bona Sforza,[['residential', -1]]
Via Padre Pio,[['unclassified', -1]]
Via Nicola Leotta,[['residential', -1], ['residential', -1]]
Via Ruggiero Bonghi,[['residential', -1]]
Via Brennero,[['residential', -1], ['residential', -1]]
Strada Pezze del Sole,[['unclassified', -1]]
Via Cifariello,[['residential', -1]]
Ex Strada Statale 98,[['secondary', -1]]
Strada Provinciale Bari - Valenzano,[['secondary', -1]]
Strada del Torrente Balice,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['tertiary', -1], ['tertiary', -1]]
Via Vigili del Fuoco caduti in Servizio,[['unclassified', -1]]
Via Alfredo Oriani,[['residential', -1]]
Via dei Conciatori,[['unclassified', -1]]
Via Giandomenico Petroni,[['residential', -1]]
Lungomare Araldo di Crollalanza,[['tertiary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Piazza dei Gesuiti,[['pedestrian', -1]]
Via Zara,[['residential', -1]]
Via Enrico Pappacena,[['unclassified', -1], ['unclassified', -1]]
Strada Filioli,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Viale Luigi De Laurentis,[['tertiary', -1], ['tertiary', -1]]
Via Rodolfo Redi,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Albert Einstein,[['residential', -1]]
Via Andrea Matteo Acquaviva,[['residential', -1]]
Via San Francesco alla Rena,[['residential', -1]]
Strada Amendoni,[['pedestrian', -1], ['pedestrian', -1]]
Via Tommaso Storelli,[['unclassified', -1]]
Via Massimiliano Mayer,[['residential', -1]]
Strada Crocifisso,[['unclassified', -1]]
Via Foggia,[['unclassified', -1]]
Via Madre Clelia Merloni,[['residential', -1]]
Via Michele Troisi,[['residential', -1]]
Via Venezia,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Piazzale Vittorio Triggiani,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Buccari,[['residential', -1]]
Via Fabrizio Veniero,[['residential', '50']]
Via Brigata e Divisione Bari,[['secondary', -1], ['secondary', -1]]
Via Salvo d'Acquisto,[['tertiary', -1]]
Via Ettore Fieramosca,[['residential', -1], ['residential', -1]]
Via Repubblica napoletana,[['residential', -1]]
Via Francesco Crispi,[['tertiary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1]]
III Traversa Nove Maggio,[['residential', -1]]
Via Vincenzo Calace,[['residential', -1]]
Via Eroi di Dogali,[['unclassified', -1]]
Via Papa Bonifacio IX,[['unclassified', -1]]
Via Ofanto,[['unclassified', -1]]
Via Salvatore Matarrese,[['unclassified', '50'], ['unclassified', -1], ['unclassified', '50']]
Via Giuseppe Albanese,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via dei Vasai,[['unclassified', -1]]
Via Monte Grappa,[['residential', -1]]
Via Lecce,[['unclassified', -1]]
Viale Papa Giovanni XXIII,[['secondary', -1], ['secondary', -1]]
Via Valdocco,[['residential', -1]]
Via Giovanni Modugno,[['unclassified', -1], ['unclassified', -1]]
Via Sabotino,[['residential', -1]]
Stradella Cannaruto,[['unclassified', -1], ['unclassified', -1]]
Via Dalmazia,[['residential', -1]]
Strada Statale 16 bis Adriatica,[['trunk', '90'], ['trunk', '90'], ['trunk', '90'], ['trunk', '90'], ['trunk', '90'], ['trunk', '90']]
Via Piave,[['residential', -1]]
Via Ancona,[['residential', -1]]
Via Gaetano Salvemini,[['unclassified', -1], ['unclassified', -1]]
Via Val D'Aosta,[['residential', -1]]
Corte del Dattilo,[['pedestrian', -1], ['pedestrian', -1]]
Via Pascali,[['residential', -1]]
Via Alfredo Violante,[['residential', -1]]
Via Giuseppe de Nittis,[['residential', -1]]
Via Francesco Muciaccia,[['residential', -1], ['residential', -1], ['residential', -1]]
Corte Colagualano,[['residential', -1]]
Viale John Fitzgerald Kennedy,[['tertiary', -1], ['tertiary_link', -1], ['tertiary', -1]]
Via Campania,[['residential', '50']]
Via Marche,[['residential', '50']]
Via Sigismondo Castromediano,[['residential', -1], ['residential', -1]]
Vico Federico II di Svevia,[['pedestrian', -1]]
Strada Tresca vecchia,[['pedestrian', -1], ['pedestrian', -1]]
Via Trani,[['residential', -1], ['residential', -1], ['residential', -1]]
Piazzale Vittorio Emanuele III,[['service', -1], ['secondary', -1]]
Via Nicola Bavaro,[['residential', -1]]
Largo Ignazio Chiurlia,[['pedestrian', -1]]
Via Gennaro Guevara,[['unclassified', -1]]
Via Davide Lopez,[['residential', -1]]
Viale Danubio,[['service', -1]]
Via dei Bottai,[['unclassified', -1]]
Area di sosta pre-imbarco auto,[['rest_area', -1]]
Viale Imperatore Traiano,[['residential', -1], ['residential', -1], ['residential', -1]]
Sottovia Giuseppe Filippo,[['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Via San Nicola da Tolentino,[['unclassified', -1]]
Via Renato Dell'Andro,[['tertiary', -1], ['tertiary', -1]]
Parcheggio sotterraneo,[['service', -1], ['service', -1], ['service', -1]]
Sottopasso Giallo,[['footway', -1]]
Raccordo Giuseppe Rossi - Tondo di Carbonara,[['secondary', '50'], ['secondary', '50'], ['secondary', '50']]
Via Antonio Beatillo,[['residential', -1]]
Via Enrico Pessina,[['residential', -1]]
Piazza Urbano II,[['pedestrian', -1]]
Viale Saverio Mercadante,[['secondary', -1], ['secondary', -1]]
Via Emanuele Melisurgo,[['unclassified', -1]]
Via Luigi Milella,[['residential', -1]]
1° Privata De Angelis,[['residential', -1]]
Piazza Giuseppe Massari,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Benedetto Cairoli,[['residential', -1], ['residential', -1]]
Strada Statale 96,[['primary', -1], ['primary', '60'], ['primary', '60'], ['primary', -1], ['secondary', -1], ['primary', -1]]
Via Francesco Rismondi,[['residential', -1]]
Via Dante Alighieri,[['tertiary', -1], ['tertiary', -1]]
Via Fratelli Giorgio e Michele de Vincentis,[['residential', -1]]
Salita Vito Minnuno,[['footway', -1]]
Via Mauro Amoruso,[['unclassified', -1], ['unclassified', -1]]
Via Cardinale Ciasca,[['unclassified', -1]]
Largo San Sabino,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['pedestrian', -1]]
Via Giuseppe Re David,[['residential', -1]]
Via dei Mille,[['residential', -1], ['residential', -1]]
Via Riccardo Zandonai,[['residential', -1]]
Via Giuseppe Suppa,[['residential', -1]]
Corso Vittorio Veneto,[['secondary', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Nicola De Gemmis,[['unclassified', -1]]
Via dei Tornitori,[['unclassified', -1]]
Strada San Totaro,[['pedestrian', -1]]
Via Nicola Ruffo,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Umberto Zanotti Bianco,[['residential', -1]]
Via Francesco Pascazio,[['unclassified', -1]]
Via Monfalcone,[['residential', -1]]
Via Giovanni Colella,[['unclassified', -1]]
Via Circonvallazione,[['tertiary', -1]]
Piazzale Mater Ecclesiae,[['unclassified', -1], ['unclassified', -1], ['footway', -1]]
Via Arturo Santoro,[['residential', -1]]
Modugno - Carbonara,[['secondary_link', -1], ['secondary_link', -1]]
Via Boemondo,[['pedestrian', -1]]
Parallela Peucetia,[['unclassified', -1]]
Via dei Lilium,[['unclassified', -1]]
Via Giovanni Candura,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Domenico Cimarosa,[['residential', -1]]
Viale delle Murge,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Domenico Mandragora,[['residential', -1]]
Via Conte Giusso,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Viale Japigia,[['secondary', -1]]
Via Sparano da Bari,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Pitagora,[['unclassified', -1]]
Via Giuseppe Prezzolini,[['unclassified', -1]]
Via dei Marmisti,[['unclassified', -1]]
Parco dell'Amore,[['service', -1], ['service', -1], ['service', -1], ['service', -1]]
Via Pacifico Mazzoni,[['residential', -1]]
Via Barletta,[['residential', -1]]
Via Timavo,[['residential', -1], ['residential', -1]]
Via Raffaele d'Addosio,[['residential', -1]]
Via Giovanni Gentile,[['secondary', -1], ['secondary', -1], ['secondary', -1]]
Via Stefano Jacini,[['secondary', -1], ['secondary', -1]]
Via Indipendenza,[['residential', -1]]
Via Massaua,[['residential', -1]]
Via Francesco Martino,[['tertiary', -1]]
Via Santa Teresa delle Donne,[['pedestrian', -1], ['pedestrian', -1]]
Via Roma,[['tertiary', -1], ['tertiary', -1], ['tertiary', -1]]
Viale del Concilio Vaticano II,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Monsignor Francesco Nitti,[['residential', -1]]
Parcheggio - Politecnico di Bari,[['service', -1]]
Via Valona,[['residential', -1]]
Via Manfredi Azzarita,[['unclassified', -1]]
Via Gaetano Latilla,[['residential', -1]]
Via Alberto Sordi,[['residential', -1], ['residential', -1]]
Via Niccolo Pizzoli,[['residential', -1], ['tertiary', -1]]
Viale Caduti di Nannsiriya,[['unclassified', -1]]
Via Benedetto Petrone,[['unclassified', -1], ['residential', -1]]
Strada Tresca,[['pedestrian', -1]]
Strada Santa Maria del Buon Consiglio,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Re Giuseppe David,[['residential', -1]]
Via Orazio Comes,[['residential', -1]]
Strada Palazzo dell'Intendenza,[['pedestrian', -1]]
Via Latina,[['residential', '50']]
Vico La trulla,[['pedestrian', -1]]
Via Luigi Einaudi,[['tertiary', -1], ['tertiary', -1]]
Via dei Caduti Partigiani,[['unclassified', -1]]
Via Monte Nevoso,[['residential', -1]]
Strada Casamassimi,[['pedestrian', -1]]
Via Natale Loiacono,[['unclassified', -1], ['unclassified', -1]]
Corte Lamberti,[['pedestrian', -1]]
Via Verona,[['residential', -1]]
Via Ascianghi,[['unclassified', -1]]
Via Veneto,[['residential', -1]]
Corso Italia,[['residential', -1], ['tertiary', -1], ['tertiary', -1], ['residential', -1], ['residential', -1]]
Via Giuseppe Solarino,[['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Via Floriano Ludwig,[['secondary', '50'], ['unclassified', '50'], ['unclassified', -1], ['unclassified', -1]]
Via Carabiniere Giovanni del Conte,[['secondary', -1]]
Largo Adua,[['residential', -1], ['residential', -1]]
Via Pasquale Romito,[['unclassified', -1]]
Via Paolo Lembo,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Giuseppe Pellegrini,[['residential', -1]]
Via dei Gigli,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Liside,[['unclassified', -1]]
padiglione 202,[['footway', -1], ['footway', -1]]
Via Liguria,[['residential', -1], ['residential', '50'], ['residential', -1]]
Strada Lamberti,[['pedestrian', -1]]
Molo San Nicola,[['unclassified', -1], ['unclassified', -1]]
Deodato,[['service', -1], ['service', -1]]
Via Antonio Lucarelli,[['tertiary', -1], ['tertiary', '30'], ['tertiary', -1], ['tertiary_link', -1], ['tertiary_link', -1], ['tertiary', -1], ['tertiary', -1], ['tertiary', -1], ['tertiary', '30'], ['tertiary', '30'], ['tertiary', '30'], ['tertiary', -1], ['residential', -1], ['tertiary', -1]]
Via monsignor Enrico Nicodemo,[['unclassified', -1]]
Via Lucera,[['unclassified', -1], ['steps', -1], ['unclassified', -1]]
Corte Carducci,[['pedestrian', -1]]
Strada Calvani,[['unclassified', -1], ['unclassified', -1]]
Via Pordenone,[['residential', -1]]
Strada Sagges,[['pedestrian', -1], ['pedestrian', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via IRI,[['service', -1]]
Via Donato de Leonardis,[['unclassified', -1]]
Strada San Marco,[['pedestrian', -1], ['pedestrian', -1]]
Via Vincenzo Bellezza,[['residential', -1]]
Via Michele Galiani,[['residential', -1]]
Strada degli Orefici,[['pedestrian', -1]]
Via Michele Mirenghi,[['residential', -1]]
Via Peucetia,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['secondary', -1], ['unclassified', -1], ['unclassified', -1]]
Stradella Barone,[['residential', -1]]
Via Gennaro Maria Monti,[['residential', -1], ['residential', -1]]
Strada Santa Teresa dei maschi,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Strada Tomasicchio,[['residential', -1], ['residential', -1]]
Via Luigi Gurakuqi,[['unclassified', -1]]
Largo Luigi Giannella,[['unclassified', -1]]
Via Giuseppe Zuccaro,[['residential', -1]]
Via Archita da Taranto,[['unclassified', -1]]
Via Fratelli Philips,[['unclassified', -1]]
Via degli Stagnini,[['unclassified', -1], ['unclassified', -1]]
Via Pantaleo Carabellese,[['unclassified', -1]]
Via Giuseppe Pavoncelli,[['residential', -1], ['residential', -1], ['residential', -1], ['unclassified', -1], ['residential', -1], ['residential', -1]]
Via Sardegna,[['residential', '50']]
Strada Arco Alto,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Sottopasso Verde,[['footway', -1], ['footway', -1], ['steps', -1]]
Via Dieta di Bari,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Pasubio,[['residential', -1], ['residential', -1]]
Via Canonico Bux,[['residential', -1]]
Via Tripoli,[['residential', -1]]
Area di sosta pre-imbarco Camion,[['rest_area', -1]]
Via Rosario Berardi,[['unclassified', -1]]
Via Vicenza,[['residential', -1], ['residential', -1]]
Viale Giuseppe di Vittorio,[['tertiary', -1], ['secondary', -1], ['tertiary', -1]]
Via Giovanni Chiaia,[['residential', -1]]
Strada Giosuè Carducci,[['unclassified', -1]]
Piazza Giuseppe Romita,[['residential', -1]]
Via Tommaso Porcelli,[['residential', -1]]
Via Alessandria,[['residential', -1]]
Viale Petru Giovacchini,[['residential', -1], ['residential', -1]]
Via Montello,[['residential', -1]]
Via Cassala,[['residential', -1]]
Via Camillo Rosalba,[['tertiary', -1], ['tertiary', '50'], ['tertiary', -1], ['tertiary', -1], ['tertiary', -1], ['tertiary', '50'], ['tertiary', '50']]
Via Novara,[['residential', -1], ['residential', -1], ['residential', -1]]
Vico Corsioli,[['residential', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Pasquale Paoli,[['residential', -1]]
Via San Paolo,[['unclassified', -1], ['unclassified', -1]]
Via Enrico Fermi,[['unclassified', -1], ['unclassified', -1]]
Via Metaponto,[['residential', -1], ['residential', -1]]
Viale Antonio Salandra,[['tertiary', -1], ['tertiary', -1]]
Via Toscana,[['residential', '50'], ['residential', '50'], ['residential', -1], ['residential', '50']]
Viale Unità d'Italia,[['tertiary', -1], ['cycleway', -1], ['secondary', -1], ['secondary', -1]]
Via Maresciallo Vittorio Maggiore,[['unclassified', -1]]
Via Ettore Carafa,[['unclassified', -1], ['unclassified', -1]]
Via delle Mimose,[['unclassified', -1], ['unclassified', -1]]
Via Franco Sorrentino,[['residential', -1]]
Via dei Tintori,[['unclassified', -1]]
Via Osvaldo Marzano,[['unclassified', -1], ['unclassified', -1]]
Strada Porto Nuovo,[['residential', -1]]
Via Durazzo,[['residential', -1]]
Via Premuda,[['residential', -1]]
Via Pasquale Fiore,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Taranto,[['residential', -1]]
Via Martin Luther King,[['unclassified', -1]]
Via Pier Delfino Pesce,[['residential', -1]]
Via Giovanni Laterza,[['residential', -1]]
Via Masaniello,[['unclassified', -1]]
Via Giuseppe Verdi,[['secondary', -1], ['secondary', -1], ['secondary', -1]]
Strada della Cava,[['unclassified', -1]]
Via Altamura,[['residential', -1]]
Via Zippitelle,[['tertiary', '50']]
Viale Italo Oriente,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Matteo Renato Imbriani,[['residential', -1]]
Via Agrigento,[['residential', -1]]
Via Aurelio Carrante,[['unclassified', -1], ['unclassified', -1]]
Via Tevere,[['unclassified', -1]]
Via Domenico Morea,[['residential', -1]]
Viale Europa,[['secondary', '50'], ['secondary', '50'], ['secondary', '50'], ['secondary', '50'], ['secondary', -1], ['secondary', -1], ['tertiary_link', '50'], ['secondary', -1], ['secondary', '50'], ['secondary', '50']]
Stradella del Caffe',[['unclassified', -1], ['unclassified', -1], ['residential', -1], ['service', -1], ['service', -1], ['residential', -1], ['unclassified', -1], ['residential', -1], ['unclassified', -1]]
Arco San Giovanni,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Viale Saverio Dioguardi,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Saverio La Sorsa,[['unclassified', -1]]
Autostrada Adriatica,[['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130'], ['motorway', '130']]
Viale della Repubblica,[['cycleway', -1], ['tertiary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1]]
Via Isonzo,[['residential', -1]]
Corte San Triggiano,[['pedestrian', -1]]
Via Vito Nicola Di Tullio,[['residential', -1], ['residential', -1]]
Corte Spirito Santo,[['pedestrian', -1]]
Via Semerari,[['residential', -1]]
Via Renato Scionti,[['unclassified', -1]]
Strada Canestrelle,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
